school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
Fresno State,0.0,0.0,0.0,-0.13576796008817912,1491.1680344138356,-0.017312773752249423,1497.2299561996401,67,Pac-12,FRES,2026,0,2026-08-24T12:48:51Z
TCU,0.0,0.0,0.0,-0.13880919718556048,1490.9675989902978,-0.01770058432080856,1497.1679065086707,68,Big 12,TCU,2026,0,2026-08-24T12:48:51Z
Kent State,0.0,0.0,0.0,-0.18676026211002378,1487.8073416017837,-0.023815178203470396,1496.1895714874447,69,Mid-American,KENT,2026,0,2026-08-24T12:48:51Z
Liberty,0.0,0.0,0.0,-0.19100823949531667,1487.5273748911536,-0.024356869124719283,1496.102900940045,70,Conference USA,LIB,2026,0,2026-08-24T12:48:51Z
Central Michigan,0.0,0.0,0.0,-0.1931646170472885,1487.3852569193884,-0.024631844727633773,1496.0589048435786,71,Mid-American,CMU,2026,0,2026-08-24T12:48:51Z
Washington,0.0,0.0,0.0,-0.22545258594618853,1485.2572897421505,-0.028749121735429015,1495.4001405223314,72,Big Ten,WASH,2026,0,2026-08-24T12:48:51Z
Georgia State,0.0,0.0,0.0,-0.23449103750011568,1484.6616025900712,-0.029901681343175765,1495.2157309850918,73,Sun Belt,GAST,2026,0,2026-08-24T12:48:51Z
Syracuse,0.0,0.0,0.0,-0.24702140645702012,1483.8357775298928,-0.03149952108859287,1494.9600766258252,74,ACC,SYR,2026,0,2026-08-24T12:48:51Z
North Carolina,0.0,0.0,0.0,-0.2587909101066974,1483.0600979714382,-0.03300033728801722,1494.7199460339173,75,ACC,UNC,2026,0,2026-08-24T12:48:51Z
Sam Houston,0.0,0.0,0.0,-0.28775128649742043,1481.1514387246184,-0.036693288437220105,1494.1290738500447,76,Conference USA,SHSU,2026,0,2026-08-24T12:48:51Z
UCF,0.0,0.0,0.0,-0.29332276890475834,1480.7842452437123,-0.03740374924343853,1494.0154001210499,77,Big 12,UCF,2026,0,2026-08-24T12:48:51Z
Kentucky,0.0,0.0,0.0,-0.31376543690006115,1479.4369531100576,-0.04001054458502843,1493.5983128663954,78,SEC,UK,2026,0,2026-08-24T12:48:51Z
Arkansas,0.0,0.0,0.0,-0.32283276941916755,1478.8393625323977,-0.04116678701761522,1493.4133140771817,79,SEC,ARK,2026,0,2026-08-24T12:48:51Z
Arizona State,0.0,0.0,0.0,-0.32641787238994396,1478.6030831469486,-0.041623949934191835,1493.3401680105294,80,Big 12,ASU,2026,0,2026-08-24T12:48:51Z
App State,0.0,0.0,0.0,-0.3347874843083049,1478.051476463225,-0.042691220867942345,1493.1694046611292,81,Sun Belt,APP,2026,0,2026-08-24T12:48:51Z
Illinois,0.0,0.0,0.0,-0.33547425821861204,1478.006214020614,-0.04277879647355926,1493.1553925642306,82,Big Ten,ILL,2026,0,2026-08-24T12:48:51Z
